state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Alabama,Barbour County,grocery/pharmacy,-4.069,-11.748,-19.879,-8.479,-25.118,-10.225,2.185,-8.952,-18.797,-20.674,-7.267,-5.91,-11.503,-3.642,-2.441,-4.308,0.795,-25.84,-16.992,-5.112,3.642,3.255,-10.182,-11.132,-8.075,-2.216,5.112,21.853,7.324,15.664,10.337,3.23,-5.171,5.112,1.457,-15.462,-14.098,-18.289,-14.535,-14.037,-14.059,-5.099,-20.345
Alabama,Barbour County,retail/recreation,-2.652,12.21,4.296,1.085,-5.971,7.175,-0.705,3.409,4.96,5.011,19.17,20.236,17.273,12.263,18.182,21.749,30.069,5.064,14.265,18.07,11.417,18.182,20.604,10.023,11.936,17.914,25.244,13.109,17.803,18.315,7.159,7.957,1.99,-4.783,-11.981,-19.697,-11.065,-17.54,-10.489,-14.597,-14.881,-15.646,-27.652
Alabama,Barbour County,workplace,-7.891,-14.113,1.263,,1.929,1.353,-4.006,4.735,6.72,1.894,3.834,7.073,-2.029,,-1.578,10.081,1.263,-9.586,1.286,5.411,4.006,4.735,8.065,3.788,3.195,4.501,4.058,-8.013,-1.578,3.36,-8.207,-5.752,-12.86,-15.557,-9.348,-22.096,-17.473,-21.465,-21.728,-23.791,-25.703,-25.374,-23.674
Alabama,Bibb County,grocery/pharmacy,-1.947,6.127,7.348,-3.333,-11.927,8.013,-1.653,-1.947,6.127,11.67,3.333,5.566,-2.003,3.307,5.841,8.754,16.857,-13.333,3.181,2.671,4.96,1.947,21.884,18.586,5.833,6.361,27.377,29.762,6.815,31.513,22.044,16.667,16.698,27.377,9.921,-7.788,7.003,4.754,1.667,1.59,-1.335,7.44,-10.709
Alabama,Bibb County,retail/recreation,-2.854,7.102,-4.529,-0.76,-0.713,-5.541,6.048,-4.994,1.578,6.793,15.967,22.831,5.541,23.522,20.691,8.681,18.871,3.802,14.983,5.541,17.473,12.129,23.674,12.832,9.124,17.123,13.298,22.177,2.854,15.783,3.774,2.281,-0.713,-9.973,-10.753,-37.1,-16.572,-12.077,-9.884,-5.708,-8.865,-10.753,-25.685
Alabama,Bibb County,workplace,-3.472,-13.186,0.651,,0.647,4.195,20.161,-1.736,1.978,4.557,5.752,6.47,5.593,6.72,3.472,1.978,3.255,-1.278,1.941,2.796,11.761,1.736,5.934,4.557,1.917,9.058,11.186,16.801,-3.472,-7.911,-9.115,-12.142,-18.116,-18.876,-10.081,-32.986,-32.305,-31.25,-31.953,-31.056,-34.955,-16.801,-32.986
Alabama,Madison County,grocery/pharmacy,-3.241,0.792,-6.772,4.24,-9.573,0.604,1.966,-0.157,-5.177,5.449,4.24,4.398,6.223,8.681,6.115,3.011,11.163,6.386,5.64,5.852,8.345,4.913,8.188,7.459,12.773,31.876,43.84,32.132,7.892,21.657,14.443,11.699,11.384,5.944,2.35,-11.603,-8.663,-15.712,-5.42,-6.365,-2.183,-5.228,-18.136
Alabama,Madison County,parks,10.334,17.13,-15.17,2.99,-34.58,5.411,97.415,0.827,-34.259,38.43,-10.467,-0.854,6.313,81.983,71.925,-26.852,46.015,5.482,0.427,36.526,127.315,94.246,47.222,18.71,20.933,28.603,13.077,69.927,-31.002,-12.037,26.8,32.895,26.469,-22.547,25.077,22.735,-35.185,-21.744,31.898,44.826,43.29,60.282,35.962
Alabama,Madison County,residential,-0.615,7.468,1.163,-0.193,3.068,0.611,-1.936,0.351,2.771,-1.671,-0.127,-0.096,-1.232,-2.839,-2.02,1.646,-1.631,-0.487,0.0,-0.388,-2.051,-1.159,-0.031,0.264,-0.369,-0.366,0.903,1.619,5.193,8.939,11.297,13.51,15.413,19.292,10.509,10.274,20.235,20.902,19.162,19.342,19.613,10.217,10.819
Alabama,Madison County,retail/recreation,1.298,5.954,-7.531,3.442,-9.003,0.755,7.476,,-6.612,6.437,8.344,6.542,6.098,12.46,8.347,1.959,13.152,8.144,5.106,6.194,9.089,7.342,5.876,6.206,9.204,7.581,2.156,-7.066,-19.213,-11.344,-18.218,-21.297,-27.862,-39.87,-46.082,-47.129,-42.04,-44.722,-35.496,-35.727,-37.438,-43.229,-47.84
