state,county,date,grocery/pharmacy,parks,retail/recreation,transitstations,workplace
AW,Overall,2020-02-23,-15.317,21.499,13.714,16.236,-7.733
AW,Overall,2020-02-24,-29.567,24.168,-23.514,-18.292,-62.414
AW,Overall,2020-02-25,3.265,8.472,5.732,12.581,-1.317
AW,Overall,2020-02-26,-0.659,4.201,-0.834,,-0.287
AW,Overall,2020-02-27,2.149,-1.42,-0.686,4.981,1.306
AW,Overall,2020-02-28,6.042,6.905,7.028,5.245,5.721
AW,Overall,2020-02-29,13.236,9.651,4.872,1.648,4.016
AW,Overall,2020-03-01,5.956,4.914,7.815,3.247,4.07
AW,Overall,2020-03-02,5.6,1.726,0.759,4.814,0.585
AW,Overall,2020-03-03,2.177,20.025,5.0,9.96,1.464
AW,Overall,2020-03-04,3.294,9.102,2.861,5.031,0.718
AW,Overall,2020-03-05,0.859,-0.71,-0.571,4.483,2.322
AW,Overall,2020-03-06,4.747,6.215,3.352,6.198,5.721
AW,Overall,2020-03-07,8.326,15.682,3.42,,2.142
AW,Overall,2020-03-08,,3.686,2.212,0.541,-2.035
AW,Overall,2020-03-09,3.36,12.084,-0.885,-0.481,0.877
AW,Overall,2020-03-10,-0.871,10.013,-1.951,-0.524,1.317
AW,Overall,2020-03-11,-0.878,1.4,-3.814,1.006,0.718
AW,Overall,2020-03-12,2.578,3.551,-10.173,1.494,1.306
AW,Overall,2020-03-13,39.705,-4.143,-10.38,-5.245,3.463
AW,Overall,2020-03-14,14.731,-6.635,-22.803,-18.954,-3.213
AW,Overall,2020-03-15,-12.764,-5.528,-28.46,-17.86,-4.884
AW,Overall,2020-03-16,0.896,-5.179,-28.445,-18.292,-20.902
AW,Overall,2020-03-17,8.054,-17.714,-38.416,-27.259,-28.544
AW,Overall,2020-03-18,-59.065,-24.506,-64.724,-49.308,-73.837
AW,Overall,2020-03-19,-4.942,-41.186,-51.891,-40.349,-40.05
AW,Overall,2020-03-20,-7.121,-40.741,-53.523,-44.818,-40.953
AW,Overall,2020-03-21,-18.787,-51.872,-61.878,-53.977,-40.157
AW,Overall,2020-03-22,-35.739,-52.212,-69.748,-61.699,-45.992
AW,Overall,2020-03-23,-18.815,-48.336,-52.97,-60.171,-47.797
AW,Overall,2020-03-24,-21.331,-49.292,-55.489,-57.139,-50.941
AW,Overall,2020-03-25,-19.762,-56.014,-56.857,-59.874,-53.438
AW,Overall,2020-03-26,-15.47,-53.968,-56.92,-61.271,-54.706
AW,Overall,2020-03-27,-3.237,-49.717,-49.63,-54.83,-51.643
AW,Overall,2020-03-28,-2.989,-50.062,-49.13,-60.569,-50.598
AW,Overall,2020-03-29,-66.372,-79.854,-87.738,-87.677,-72.041
AW,Overall,2020-03-30,-43.007,-63.01,-74.588,-77.501,-71.476
AW,Overall,2020-03-31,-37.873,-60.845,-71.466,-72.866,-70.263
AW,Overall,2020-04-01,-36.01,-61.615,-69.73,-71.446,-69.384
AW,Overall,2020-04-02,-36.097,-58.939,-69.95,-72.229,-68.782
AW,Overall,2020-04-03,-30.857,-55.241,-69.093,-71.995,-66.549
AW,Overall,2020-04-04,-32.236,-56.697,-71.311,-77.875,-63.984
AW,Overall,2020-04-05,-49.921,-50.984,-75.794,-77.394,-64.308
