state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
South Carolina,Abbeville County,grocery/pharmacy,-8.469,-11.99,,-5.869,4.276,-3.339,3.72,6.775,-12.74,20.065,-10.27,17.102,11.351,11.161,10.163,9.742,7.684,2.201,10.883,15.358,7.44,21.172,8.618,25.615,12.837,26.43,22.035,22.321,22.866,28.477,32.018,3.668,20.211,20.032,27.53,1.694,-2.998,-8.538,,16.325,,22.321,7.622
South Carolina,Abbeville County,workplace,,-15.801,1.138,1.653,-1.662,-1.849,6.039,-4.529,4.096,4.554,3.307,-0.554,0.616,-3.019,-7.548,,-0.569,-0.551,-2.216,-1.849,6.039,-4.529,3.511,2.846,2.756,-0.554,1.849,,-3.019,-4.682,-10.815,-13.779,-18.839,-21.573,-13.587,-25.664,-18.727,-22.769,-24.25,-26.042,-28.969,-15.097,-31.703
South Carolina,Aiken County,grocery/pharmacy,-5.32,3.283,-2.525,-0.53,-8.046,7.589,0.961,3.454,1.42,1.623,7.062,7.094,9.186,7.046,12.787,6.655,12.175,2.825,-2.336,10.944,6.966,8.027,10.559,9.56,11.653,17.823,31.633,19.536,26.882,29.369,21.916,14.036,18.947,15.737,4.964,-6.067,-1.153,-6.674,-4.767,-5.364,-2.237,-6.565,-11.387
South Carolina,Aiken County,parks,-46.827,19.113,-25.077,-25.803,-26.515,25.183,14.881,36.315,-22.936,-11.574,-5.734,0.947,14.881,5.787,21.024,-19.113,-7.716,-18.157,-20.833,34.341,41.336,43.005,25.803,17.361,25.803,26.515,19.46,34.722,13.379,-20.069,-10.61,-5.734,2.841,17.17,6.614,-16.246,-42.049,-35.687,-1.911,-2.841,13.736,-10.747,-0.956
South Carolina,Aiken County,residential,1.31,4.63,2.304,1.811,3.784,-1.126,-0.728,-0.665,1.513,0.849,-0.699,-1.516,-1.363,-2.563,-1.696,-0.61,0.066,0.836,2.271,-3.134,-2.679,-1.892,-1.575,-1.099,-1.525,-1.522,-3.11,-1.447,0.248,3.781,5.944,8.236,8.345,8.404,6.233,8.68,12.263,14.826,13.451,13.983,12.686,9.091,8.681
South Carolina,Aiken County,retail/recreation,-3.728,5.441,-4.995,-0.125,-8.352,3.373,4.652,5.502,0.522,5.684,13.245,15.338,12.582,15.599,18.46,10.795,15.287,5.498,1.639,10.693,10.297,11.867,11.013,11.498,10.954,10.069,9.985,4.858,4.183,1.175,-6.115,-16.535,-18.109,-19.97,-28.941,-34.055,-30.906,-32.21,-28.489,-27.281,-28.403,-30.138,-32.646
South Carolina,Aiken County,workplace,-3.1,-22.893,-1.237,-1.278,-1.805,0.802,2.815,1.86,0.445,0.582,0.568,1.516,-7.217,3.519,4.754,1.704,0.728,-1.846,-1.733,1.604,4.927,2.067,1.556,2.038,0.852,0.505,0.321,1.056,-1.24,-11.409,-12.52,-19.243,-19.852,-24.538,-16.54,-27.282,-30.302,-32.83,-35.645,-34.433,-35.123,-26.218,-34.102
South Carolina,Bamberg County,grocery/pharmacy,-12.55,-2.867,-0.992,12.656,0.938,1.68,-16.667,5.02,5.734,4.96,13.629,15.015,10.921,14.167,43.298,22.936,15.873,9.735,-13.138,10.921,8.333,15.06,13.379,16.865,13.629,20.646,21.001,20.833,57.731,29.625,29.762,29.206,20.646,15.961,16.667,1.255,7.645,-0.992,6.815,5.631,4.2,-5.833,2.51
South Carolina,Bamberg County,retail/recreation,,,-6.649,-10.016,-11.261,-3.887,8.681,7.548,-1.24,1.108,4.006,20.646,24.098,30.864,42.271,29.762,11.082,5.008,-5.631,15.547,17.361,18.116,23.562,12.19,14.022,7.508,9.328,20.255,16.606,22.321,-8.865,-18.029,-14.077,-15.547,-14.468,-42.271,-31.002,-32.137,-28.045,-29.092,-24.876,-19.29,-28.684
South Carolina,Barnwell County,grocery/pharmacy,-8.681,-8.551,-1.653,-6.996,-14.66,-5.669,5.123,,-9.328,-3.307,-6.219,3.086,8.503,11.954,7.595,3.109,12.401,-3.887,-0.772,0.709,8.538,1.085,,-0.827,1.555,4.63,15.59,7.684,35.807,8.551,19.841,12.438,19.29,18.424,29.884,10.851,-6.996,-13.228,-1.555,2.315,-2.834,23.907,11.936
