state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
Idaho,Overall,grocery/pharmacy,7.11,4.615,5.429,7.924,7.761,7.058,8.615,14.924,10.524,15.035,13.397,13.608,8.283,9.125,13.711,10.933,13.87,13.134,23.006,33.041,26.524,25.674,31.484,22.509,17.184,12.587,11.831,4.742,1.31,0.712,0.176,7.136,-10.185,-14.171,-17.324,-18.127,-14.341,-12.178,-8.121,-10.482,-8.525,-12.997,-13.687
Idaho,Overall,parks,43.586,18.01,30.038,24.37,46.879,45.817,14.093,53.563,22.083,42.762,33.627,55.368,41.171,1.716,66.517,37.734,65.498,60.075,54.21,32.681,-11.152,28.532,65.392,56.32,47.607,93.373,68.726,75.982,140.035,46.525,39.841,10.201,23.536,10.573,13.358,24.681,11.363,-1.669,12.657,28.552,19.705,24.265,30.458
Idaho,Overall,residential,-0.845,-2.348,-0.788,-1.199,-1.304,-1.677,-1.526,-1.616,-2.618,-1.101,-1.005,-1.314,-1.291,-0.771,-1.094,-2.512,-1.353,-1.029,-0.992,-0.29,2.627,2.705,1.483,7.031,8.846,9.529,10.415,6.671,5.221,9.141,13.203,13.86,16.88,17.913,11.751,9.81,13.548,17.708,17.217,17.984,17.79,11.64,9.596
Idaho,Overall,retail/recreation,12.499,4.834,6.32,9.381,9.574,9.833,9.563,21.343,8.873,10.629,9.035,10.254,7.31,8.295,16.619,6.183,8.967,7.965,9.265,5.582,-5.532,1.788,1.79,-7.089,-11.676,-14.633,-20.866,-29.009,-21.848,-23.609,-26.0,-26.957,-39.908,-43.239,-47.438,-41.772,-37.86,-37.664,-34.749,-38.026,-38.955,-46.019,-39.955
Idaho,Overall,transitstations,9.147,4.348,9.32,6.967,9.863,9.503,11.141,16.007,2.898,7.19,7.355,12.734,7.648,11.141,13.557,4.611,11.317,6.064,6.742,2.202,-2.026,1.96,-2.108,-2.397,-6.064,-9.238,-16.108,-10.418,-11.434,-19.762,-14.247,-19.354,-26.467,-32.796,-28.648,-33.974,-30.828,-27.96,-28.515,-31.211,-32.796,-30.095,-35.771
Idaho,Overall,workplace,2.285,8.613,2.366,3.373,2.516,0.899,2.597,3.746,8.844,2.81,3.596,2.183,2.21,1.793,2.66,8.71,2.144,3.217,1.408,0.012,-0.866,-8.428,-4.178,-18.783,-23.278,-26.588,-27.715,-17.533,-26.782,-29.712,-36.311,-37.717,-43.834,-43.492,-30.829,-37.87,-39.957,-45.442,-45.186,-46.327,-44.743,-33.643,-39.293
