state,county,date,grocery/pharmacy,parks,retail/recreation,transitstations,workplace
CV,Overall,2020-02-23,4.801,-2.205,4.429,-7.975,0.863
CV,Overall,2020-02-24,5.993,2.516,6.542,-5.461,-11.859
CV,Overall,2020-02-25,5.386,1.451,5.17,-16.092,-24.744
CV,Overall,2020-02-26,-28.222,-10.165,-20.909,-12.621,-55.77
CV,Overall,2020-02-27,-3.654,-3.419,-1.883,2.781,-1.966
CV,Overall,2020-02-28,-3.461,-3.641,-3.415,-13.653,-0.491
CV,Overall,2020-02-29,-2.413,-6.965,1.768,-7.216,2.621
CV,Overall,2020-03-01,-3.772,-3.529,-1.155,-8.861,-2.589
CV,Overall,2020-03-02,3.246,-6.038,3.634,-1.82,5.082
CV,Overall,2020-03-03,-1.224,-9.19,-1.896,-7.152,2.13
CV,Overall,2020-03-04,-1.472,,-0.17,-12.621,2.772
CV,Overall,2020-03-05,-2.193,-8.303,2.225,-6.49,2.786
CV,Overall,2020-03-06,-4.153,-9.102,-1.087,-11.378,1.963
CV,Overall,2020-03-07,-1.93,-7.401,2.25,-8.118,2.621
CV,Overall,2020-03-08,-5.829,-11.027,5.584,-14.177,1.726
CV,Overall,2020-03-09,-2.996,-6.541,3.089,-7.282,5.421
CV,Overall,2020-03-10,-5.631,-9.674,-2.068,-10.728,3.441
CV,Overall,2020-03-11,-5.153,-5.082,-4.08,-16.828,3.751
CV,Overall,2020-03-12,-0.487,-8.303,-3.081,-10.198,2.622
CV,Overall,2020-03-13,-0.231,-9.557,-6.675,-16.688,1.963
CV,Overall,2020-03-14,-1.206,-11.318,-6.107,-20.747,0.262
CV,Overall,2020-03-15,-12.001,-16.32,-10.398,-22.152,-5.61
CV,Overall,2020-03-16,1.498,-18.113,-6.178,-6.372,6.099
CV,Overall,2020-03-17,,-24.185,-11.719,-17.879,2.13
CV,Overall,2020-03-18,1.472,-19.313,-13.429,-24.4,1.794
CV,Overall,2020-03-19,-1.218,-23.932,-17.115,-35.229,0.328
CV,Overall,2020-03-20,-3.461,-33.223,-27.631,-42.477,-5.562
CV,Overall,2020-03-21,-17.13,-43.097,-38.732,-55.926,-18.348
CV,Overall,2020-03-22,-35.318,-45.872,-45.249,-54.05,-28.052
CV,Overall,2020-03-23,-17.228,-40.251,-33.617,-46.422,-27.784
CV,Overall,2020-03-24,-25.704,-42.565,-38.43,-47.381,-33.102
CV,Overall,2020-03-25,-27.485,-42.185,-43.858,-63.945,-35.386
CV,Overall,2020-03-26,-23.143,-43.957,-41.933,-53.771,-37.69
CV,Overall,2020-03-27,-37.374,-50.973,-51.227,-75.094,-48.754
CV,Overall,2020-03-28,-39.567,-51.368,-54.161,-76.672,-45.082
CV,Overall,2020-03-29,-48.348,-57.34,-59.882,-88.606,-39.705
CV,Overall,2020-03-30,-41.698,-46.792,-53.243,-76.459,-54.721
CV,Overall,2020-03-31,-43.575,-47.402,-55.663,-80.458,-59.977
CV,Overall,2020-04-01,-45.891,-43.709,-57.797,-83.297,-59.847
CV,Overall,2020-04-02,-47.261,-48.353,-59.39,-81.583,-61.452
CV,Overall,2020-04-03,-47.525,-50.062,-61.317,-82.679,-60.042
CV,Overall,2020-04-04,-49.942,-51.368,-63.321,-86.595,-51.111
CV,Overall,2020-04-05,-48.348,-55.135,-62.771,-86.834,-34.526
