state,county,date,grocery/pharmacy,retail/recreation,transitstations,workplace
MU,Flacq District,2020-02-16,3.1,-4.006,,2.694
MU,Flacq District,2020-02-17,5.787,-11.48,,2.196
MU,Flacq District,2020-02-18,-7.44,-9.354,,-6.985
MU,Flacq District,2020-02-19,-17.236,-20.109,,-7.886
MU,Flacq District,2020-02-20,-10.512,-18.357,,-25.037
MU,Flacq District,2020-02-21,-30.242,-30.336,,-58.072
MU,Flacq District,2020-02-22,-2.003,-0.88,,17.478
MU,Flacq District,2020-02-23,-3.1,-1.821,,0.898
MU,Flacq District,2020-02-24,1.929,-6.378,,8.158
MU,Flacq District,2020-02-25,,-1.276,,4.252
MU,Flacq District,2020-02-26,5.246,1.207,,11.83
MU,Flacq District,2020-02-27,0.956,4.696,,3.709
MU,Flacq District,2020-02-28,1.68,0.365,,21.051
MU,Flacq District,2020-02-29,16.693,17.606,,31.46
MU,Flacq District,2020-03-01,10.541,10.198,,6.286
MU,Flacq District,2020-03-02,8.681,10.629,,6.589
MU,Flacq District,2020-03-03,6.51,6.378,,4.555
MU,Flacq District,2020-03-04,8.243,8.848,,15.116
MU,Flacq District,2020-03-05,2.867,5.123,,6.182
MU,Flacq District,2020-03-06,0.84,-7.31,,24.318
MU,Flacq District,2020-03-07,7.345,,,29.362
MU,Flacq District,2020-03-08,-3.1,-8.377,,-8.082
MU,Flacq District,2020-03-09,6.752,-3.401,,6.903
MU,Flacq District,2020-03-10,-6.51,-8.929,,-17.614
MU,Flacq District,2020-03-11,3.747,10.457,,-8.215
MU,Flacq District,2020-03-12,-21.024,-11.1,,-60.584
MU,Flacq District,2020-03-13,-22.681,-33.626,,-16.333
MU,Flacq District,2020-03-14,9.348,4.695,,22.371
MU,Flacq District,2020-03-15,24.182,8.377,,0.898
MU,Flacq District,2020-03-16,7.716,-5.527,,9.413
MU,Flacq District,2020-03-17,-0.93,-16.582,,-20.044
MU,Flacq District,2020-03-18,-2.248,-8.044,,11.83
MU,Flacq District,2020-03-19,44.916,-9.819,,-22.873
MU,Flacq District,2020-03-20,-45.363,-71.637,,-67.509
MU,Flacq District,2020-03-21,-63.435,-81.866,,-58.026
MU,Flacq District,2020-03-22,-94.866,-96.882,,-64.655
MU,Flacq District,2020-03-23,-65.586,-86.735,,-85.969
MU,Flacq District,2020-03-24,-78.125,-89.711,,-90.804
MU,Flacq District,2020-03-25,-98.921,-104.167,,-92.337
MU,Flacq District,2020-03-26,-92.699,-100.324,,-91.494
MU,Flacq District,2020-03-27,-94.086,-98.319,,-89.649
MU,Flacq District,2020-03-28,-92.147,-94.484,,-77.601
MU,Flacq District,2020-03-29,-93.006,-95.79,,-75.431
MU,Grand Port District,2020-02-16,8.601,-4.324,-9.311,
MU,Grand Port District,2020-02-17,-8.418,-9.037,-3.739,4.682
MU,Grand Port District,2020-02-18,-10.851,-9.608,1.849,2.721
MU,Grand Port District,2020-02-19,-15.756,-15.914,0.639,2.837
MU,Grand Port District,2020-02-20,-13.304,-14.468,1.255,-17.747
MU,Grand Port District,2020-02-21,-35.807,-30.518,-20.053,-61.275
MU,Grand Port District,2020-02-22,7.123,-4.258,-11.698,23.148
MU,Grand Port District,2020-02-23,1.195,-8.255,1.746,6.275
MU,Grand Port District,2020-02-24,-9.47,-2.378,0.534,6.632
MU,Grand Port District,2020-02-25,,1.517,-1.233,4.276
MU,Grand Port District,2020-02-26,-5.252,7.716,,7.701
MU,Grand Port District,2020-02-27,-7.926,2.894,4.393,
MU,Grand Port District,2020-02-28,-2.003,2.848,-14.483,14.443
MU,Grand Port District,2020-02-29,16.916,12.775,-7.799,29.9
MU,Grand Port District,2020-03-01,11.468,11.792,,2.51
MU,Grand Port District,2020-03-02,4.209,12.367,-5.342,1.17
MU,Grand Port District,2020-03-03,-4.34,3.034,-3.082,1.555
MU,Grand Port District,2020-03-04,-3.501,6.752,-3.195,5.674
MU,Grand Port District,2020-03-05,-7.926,0.482,-3.765,
MU,Grand Port District,2020-03-06,-14.774,-8.138,-18.939,16.632
MU,Grand Port District,2020-03-07,-2.671,-2.293,-11.141,26.042
MU,Grand Port District,2020-03-08,-2.867,4.717,-9.311,
MU,Grand Port District,2020-03-09,-10.522,-4.756,-12.286,0.78
MU,Grand Port District,2020-03-10,-11.936,-3.54,-14.793,-15.936
MU,Grand Port District,2020-03-11,-7.003,15.432,-8.308,-11.349
MU,Grand Port District,2020-03-12,-22.645,-9.645,-21.335,-63.657
MU,Grand Port District,2020-03-13,-14.022,-20.752,-31.751,-15.319
MU,Grand Port District,2020-03-14,-0.89,-7.206,-21.168,23.148
MU,Grand Port District,2020-03-15,15.291,-3.931,-12.221,2.51
MU,Grand Port District,2020-03-16,1.052,-2.854,-15.491,3.121
MU,Grand Port District,2020-03-17,-11.936,-8.091,-9.862,-19.434
MU,Grand Port District,2020-03-18,-5.252,-8.681,-3.195,6.89
MU,Grand Port District,2020-03-19,50.951,6.752,-27.61,-23.92
MU,Grand Port District,2020-03-20,-27.043,-64.697,-58.489,-68.715
MU,Grand Port District,2020-03-21,-63.212,-81.564,-57.375,-51.119
MU,Grand Port District,2020-03-22,-93.654,-100.236,-66.341,-61.496
MU,Grand Port District,2020-03-23,-66.288,-80.384,-75.855,-84.27
MU,Grand Port District,2020-03-24,-79.21,-85.457,-86.908,-88.231
MU,Grand Port District,2020-03-25,-98.039,-104.167,-86.273,-92.412
MU,Grand Port District,2020-03-26,-93.976,-100.309,-90.989,-90.664
MU,Grand Port District,2020-03-27,-89.143,-96.029,-90.241,-88.848
MU,Grand Port District,2020-03-28,-90.812,-96.633,-98.039,-75.231
MU,Grand Port District,2020-03-29,-93.654,-97.877,-98.347,-72.791
MU,Moka District,2020-02-16,,-5.658,,-1.603
MU,Moka District,2020-02-17,,-8.175,,4.562
MU,Moka District,2020-02-18,,-5.036,,
MU,Moka District,2020-02-19,,-13.508,,-8.808
MU,Moka District,2020-02-20,,-10.91,,-19.073
MU,Moka District,2020-02-21,,-52.425,,-71.453
MU,Moka District,2020-02-22,,1.108,,34.722
MU,Moka District,2020-02-23,,-13.978,,-9.615
MU,Moka District,2020-02-24,,-3.165,,6.843
MU,Moka District,2020-02-25,,1.06,,5.19
MU,Moka District,2020-02-26,,6.494,,8.425
MU,Moka District,2020-02-27,,6.754,,-0.734
MU,Moka District,2020-02-28,,15.728,,20.231
MU,Moka District,2020-02-29,,32.137,,45.139
MU,Moka District,2020-03-01,,10.982,,4.808
MU,Moka District,2020-03-02,,2.373,,6.083
MU,Moka District,2020-03-03,,3.711,,4.078
MU,Moka District,2020-03-04,,2.078,,6.893
MU,Moka District,2020-03-05,,5.455,,-0.734
MU,Moka District,2020-03-06,,3.647,,19.37
MU,Moka District,2020-03-07,,7.979,,38.194
MU,Moka District,2020-03-08,,4.326,,-4.808
MU,Moka District,2020-03-09,,-7.384,,3.802
MU,Moka District,2020-03-10,,-22.795,,-18.164
MU,Moka District,2020-03-11,,-2.598,,-12.638
MU,Moka District,2020-03-12,,-39.485,,-74.824
MU,Moka District,2020-03-13,,-32.823,,-9.9
MU,Moka District,2020-03-14,,2.66,,38.194
MU,Moka District,2020-03-15,,-5.325,,-3.205
MU,Moka District,2020-03-16,,-8.439,,3.802
MU,Moka District,2020-03-17,,-21.204,,-16.681
MU,Moka District,2020-03-18,,-9.871,,4.213
MU,Moka District,2020-03-19,,-32.211,,-23.841
MU,Moka District,2020-03-20,,-84.564,,-75.758
MU,Moka District,2020-03-21,,-91.534,,-56.713
MU,Moka District,2020-03-22,,-104.167,,-64.103
MU,Moka District,2020-03-23,,-93.354,,-87.819
MU,Moka District,2020-03-24,,-96.215,,-91.934
MU,Moka District,2020-03-25,,-104.167,,-94.593
MU,Moka District,2020-03-26,,-102.089,,-92.43
MU,Moka District,2020-03-27,,-102.115,,-89.101
MU,Moka District,2020-03-28,,-101.507,,-69.444
MU,Moka District,2020-03-29,,-101.171,,-67.308
MU,Pamplemousses District,2020-02-16,-3.956,0.529,,4.464
MU,Pamplemousses District,2020-02-17,2.556,-4.209,,0.406
MU,Pamplemousses District,2020-02-18,-7.764,-9.847,,-5.218
MU,Pamplemousses District,2020-02-19,-15.931,-3.523,,-7.44
MU,Pamplemousses District,2020-02-20,9.356,4.984,,-21.153
MU,Pamplemousses District,2020-02-21,-27.381,-27.174,,-65.247
MU,Pamplemousses District,2020-02-22,-1.517,2.042,,24.079
MU,Pamplemousses District,2020-02-23,-4.615,3.173,,2.976
MU,Pamplemousses District,2020-02-24,-7.669,-3.683,,4.67
MU,Pamplemousses District,2020-02-25,,-0.518,,4.014
MU,Pamplemousses District,2020-02-26,-4.289,2.013,,6.2
MU,Pamplemousses District,2020-02-27,1.248,1.495,,2.195
MU,Pamplemousses District,2020-02-28,1.786,52.536,,14.652
MU,Pamplemousses District,2020-02-29,17.698,76.797,,35.071
MU,Pamplemousses District,2020-03-01,13.186,74.556,,3.72
MU,Pamplemousses District,2020-03-02,7.669,49.453,,3.046
MU,Pamplemousses District,2020-03-03,14.234,52.861,,4.817
MU,Pamplemousses District,2020-03-04,4.289,52.335,,5.994
MU,Pamplemousses District,2020-03-05,4.99,50.837,,0.798
MU,Pamplemousses District,2020-03-06,1.786,48.46,,17.17
MU,Pamplemousses District,2020-03-07,2.023,48.611,,30.36
MU,Pamplemousses District,2020-03-08,2.637,68.211,,-0.744
MU,Pamplemousses District,2020-03-09,3.834,41.561,,2.031
MU,Pamplemousses District,2020-03-10,-0.647,38.868,,-14.451
MU,Pamplemousses District,2020-03-11,5.515,54.851,,-11.574
MU,Pamplemousses District,2020-03-12,-19.336,26.914,,-68.646
MU,Pamplemousses District,2020-03-13,-7.143,18.116,,-9.615
MU,Pamplemousses District,2020-03-14,10.619,46.16,,29.837
MU,Pamplemousses District,2020-03-15,11.208,46.531,,0.744
MU,Pamplemousses District,2020-03-16,9.586,36.301,,3.046
MU,Pamplemousses District,2020-03-17,0.647,28.503,,-16.057
MU,Pamplemousses District,2020-03-18,-4.902,32.709,,4.547
MU,Pamplemousses District,2020-03-19,81.088,37.879,,-20.155
MU,Pamplemousses District,2020-03-20,-7.738,-60.236,,-70.284
MU,Pamplemousses District,2020-03-21,-46.521,-73.121,,-56.533
MU,Pamplemousses District,2020-03-22,-87.685,-84.074,,-61.756
MU,Pamplemousses District,2020-03-23,-52.403,-75.758,,-85.689
MU,Pamplemousses District,2020-03-24,-60.818,-85.51,,-89.917
MU,Pamplemousses District,2020-03-25,-97.426,-100.644,,-94.039
MU,Pamplemousses District,2020-03-26,-86.078,-92.703,,-91.395
MU,Pamplemousses District,2020-03-27,-81.548,-91.033,,-89.057
MU,Pamplemousses District,2020-03-28,-82.929,-88.235,,-72.236
MU,Pamplemousses District,2020-03-29,-85.047,-84.602,,-69.94
MU,Plaines Wilhems District,2020-02-16,-6.455,7.08,5.235,-1.286
MU,Plaines Wilhems District,2020-02-17,-8.409,-0.596,-0.983,3.334
MU,Plaines Wilhems District,2020-02-18,1.159,10.789,21.181,1.778
MU,Plaines Wilhems District,2020-02-19,-0.68,2.268,22.958,-1.286
MU,Plaines Wilhems District,2020-02-20,-1.73,3.686,-4.544,-14.881
MU,Plaines Wilhems District,2020-02-21,-33.395,-36.858,-37.544,-71.786
MU,Plaines Wilhems District,2020-02-22,0.576,8.208,-0.747,33.861
MU,Plaines Wilhems District,2020-02-23,-10.461,-0.48,-13.086,3.429
MU,Plaines Wilhems District,2020-02-24,-7.551,-3.972,-7.534,3.244
MU,Plaines Wilhems District,2020-02-25,-4.306,1.667,-3.125,3.111
MU,Plaines Wilhems District,2020-02-26,-1.19,-0.544,-7.881,5.787
MU,Plaines Wilhems District,2020-02-27,-1.903,4.946,-1.049,1.063
MU,Plaines Wilhems District,2020-02-28,-2.298,6.573,7.362,15.783
MU,Plaines Wilhems District,2020-02-29,12.535,31.066,8.214,41.609
MU,Plaines Wilhems District,2020-03-01,4.229,22.321,-3.141,-0.857
MU,Plaines Wilhems District,2020-03-02,1.544,8.143,-7.206,1.712
MU,Plaines Wilhems District,2020-03-03,3.147,6.67,-3.125,1.511
MU,Plaines Wilhems District,2020-03-04,-1.19,1.543,-6.168,4.501
MU,Plaines Wilhems District,2020-03-05,1.903,6.207,-5.593,
MU,Plaines Wilhems District,2020-03-06,-6.74,,5.521,16.699
MU,Plaines Wilhems District,2020-03-07,-0.864,10.662,2.24,40.748
MU,Plaines Wilhems District,2020-03-08,-1.558,10.441,-15.18,-0.429
MU,Plaines Wilhems District,2020-03-09,-2.403,-1.291,-10.482,3.424
MU,Plaines Wilhems District,2020-03-10,-10.102,-5.787,-31.944,-14.31
MU,Plaines Wilhems District,2020-03-11,-0.85,4.083,-22.615,-10.38
MU,Plaines Wilhems District,2020-03-12,-33.742,-27.157,-50.685,-75.202
MU,Plaines Wilhems District,2020-03-13,-15.012,-27.622,-37.544,-10.284
MU,Plaines Wilhems District,2020-03-14,3.89,7.44,-10.081,33.287
MU,Plaines Wilhems District,2020-03-15,1.558,5.52,-13.61,0.857
MU,Plaines Wilhems District,2020-03-16,6.864,-2.284,-13.103,2.613
MU,Plaines Wilhems District,2020-03-17,-8.446,-8.828,-35.069,-15.287
MU,Plaines Wilhems District,2020-03-18,-7.137,-8.529,-10.622,3.766
MU,Plaines Wilhems District,2020-03-19,37.202,-17.264,-37.402,-22.676
MU,Plaines Wilhems District,2020-03-20,-48.713,-80.954,-83.922,-76.063
MU,Plaines Wilhems District,2020-03-21,-61.808,-87.521,-90.726,-60.262
MU,Plaines Wilhems District,2020-03-22,-96.599,-96.966,-96.315,-68.587
MU,Plaines Wilhems District,2020-03-23,-68.815,-88.378,-94.667,-89.479
MU,Plaines Wilhems District,2020-03-24,-78.663,-95.241,-98.611,-93.946
MU,Plaines Wilhems District,2020-03-25,-99.579,-101.172,-100.397,-97.277
MU,Plaines Wilhems District,2020-03-26,-95.342,-98.929,-99.273,-94.777
MU,Plaines Wilhems District,2020-03-27,-93.75,-97.677,-98.645,-93.373
MU,Plaines Wilhems District,2020-03-28,-94.081,-97.033,-97.446,-78.914
MU,Plaines Wilhems District,2020-03-29,-91.925,-95.046,-96.315,-73.731
MU,Port Louis District,2020-02-16,8.681,1.015,1.653,3.434
MU,Port Louis District,2020-02-17,1.221,-5.322,3.439,6.885
MU,Port Louis District,2020-02-18,-5.787,-6.161,-1.46,2.308
MU,Port Louis District,2020-02-19,-8.042,6.441,8.275,3.246
MU,Port Louis District,2020-02-20,-8.651,-7.209,-10.99,-4.838
MU,Port Louis District,2020-02-21,-58.499,-57.908,-48.381,-66.138
MU,Port Louis District,2020-02-22,,-1.959,-6.127,36.458
MU,Port Louis District,2020-02-23,-2.367,-4.397,-3.307,-2.289
MU,Port Louis District,2020-02-24,-2.441,-4.372,3.439,8.98
MU,Port Louis District,2020-02-25,-6.559,-2.311,-1.947,4.905
MU,Port Louis District,2020-02-26,-6.893,-2.393,4.868,7.672
MU,Port Louis District,2020-02-27,-6.127,1.802,-1.911,3.7
MU,Port Louis District,2020-02-28,0.755,,7.405,16.204
MU,Port Louis District,2020-02-29,22.447,9.615,11.029,40.179
MU,Port Louis District,2020-03-01,26.042,17.248,38.856,5.723
MU,Port Louis District,2020-03-02,10.986,3.802,4.914,8.681
